Database dummy - table deptprog
01;0;;
01;3;;
01;4;;
02;0;;
02;3;;
02;4;;
03;1;;
03;4;;
03;5;;
04;0;;
09;1;;
04;3;;
04;4;;
05;0;;
05;3;;
05;4;;
06;3;;
06;4;;
06;5;;
07;0;;
07;3;;
07;4;;
08;4;;
09;4;;
09;5;;
10;0;;
10;3;;
10;4;;
11;0;;
11;3;;
11;4;;
12;4;;
12;5;;
13;6;;
14;3;;
14;4;;
15;3;;
16;3;;
16;4;;
17;3;;
17;4;;
18;3;;
18;4;;
19;3;;
19;4;;
20;3;;
20;4;;
21;3;;
21;4;;
22;3;;
22;4;;
23;3;;
23;4;;
25;6;;
24;5;;
26;0;;
24;4;;
08;8;;
27;9;;
28;5;;
02;D;;
07;D;;
10;D;;
01;D;;
11;D;;
27;4;;
04;D;;
05;M;;
09;8;;
29;3;;
29;4;;
05;D;;


