Database dummy - table crsegroup
1;1;1;01;0;C;;;
3;2;1;01;0;C;;;
4;4;1;01;0;C;;;
337;4;1;01;0;D;;;
7;1;1;02;0;C;;;
9;2;1;02;0;C;;;
10;3;1;02;0;C;;;
11;4;1;02;0;C;;;
174;1;1;29;3;D;;;
13;1;1;04;0;C;;;
423;4;1;01;D;D;;;
15;2;1;04;0;C;;;
16;3;1;04;0;C;;;
17;4;1;04;0;C;;;
18;4;1;04;0;D;;;
19;1;1;05;0;C;;;
21;2;1;05;0;C;;;
22;3;1;05;0;C;;;
23;4;1;05;0;C;;;
24;4;1;05;0;D;;;
25;4;1;05;0;D;;;
26;1;1;07;0;C;;;
28;2;1;07;0;C;;;
29;3;1;07;0;C;;;
30;4;1;07;0;C;;;
31;4;1;07;0;D;;;
32;1;1;10;0;C;;;
34;2;1;10;0;C;;;
35;3;1;10;0;C;;;
36;4;1;10;0;C;;;
37;4;1;10;0;D;;;
38;4;1;10;0;D;;;
39;1;1;11;0;C;;;
426;1;2;28;5;C;;;
41;2;1;11;0;C;;;
42;3;1;11;0;C;;;
43;4;1;11;0;C;;;
44;4;1;11;0;D;;;
45;1;1;26;0;C;;;
427;2;2;28;5;C;;;
47;2;1;26;0;C;;;
48;3;1;26;0;C;;;
49;4;1;26;0;C;;;
50;4;1;26;0;D;;;
51;1;1;03;1;C;;;
53;2;1;03;1;C;;;
54;3;1;03;1;C;;;
55;4;1;03;1;C;;;
56;5;1;03;1;C;;;
57;1;1;01;D;C;;;
425;1;1;09;4;C;;;
59;2;1;01;D;C;;;
60;3;1;01;D;C;;;
61;4;1;01;D;C;;;
422;4;1;01;D;D;;;
420;4;1;01;D;D;;;
421;4;1;01;D;D;;;
66;5;1;01;D;C;;;
67;1;1;02;D;C;;;
424;4;1;01;D;D;;;
69;2;1;02;D;C;;;
70;3;1;02;D;C;;;
71;4;1;02;D;C;;;
72;5;1;02;D;C;;;
73;1;1;04;D;C;;;
75;2;1;04;D;C;;;
76;3;1;04;D;C;;;
77;4;1;04;D;C;;;
162;4;1;04;D;D;;;
79;1;1;05;D;C;;;
428;2;2;28;5;D;;;
81;2;1;05;D;C;;;
82;1;1;07;D;C;E1;;
84;2;1;07;D;C;E1;;
85;3;1;07;D;C;E1;;
86;4;1;07;D;C;E1;;
87;5;1;07;D;C;E1;;
88;5;1;07;D;D;E1;;
89;1;1;07;D;C;E2;;
551;1;1;07;3;C;;;
91;2;1;07;D;C;E2;;
92;3;1;07;D;C;E2;;
93;4;1;07;D;C;E2;;
94;4;1;07;D;D;E2;;
95;4;1;07;D;D;E2;;
96;5;1;07;D;C;E2;;
97;5;1;07;D;D;E2;;
98;1;1;10;D;C;M1;;
558;3;1;01;3;C;SS;;
100;2;1;10;D;C;M1;;
101;3;1;10;D;C;M1;;
102;4;1;10;D;C;M1;;
103;5;1;10;D;C;M1;;
104;5;1;10;D;D;M1;;
105;1;1;10;D;C;M2;;
557;3;1;01;3;C;AS;;
107;2;1;10;D;C;M2;;
108;3;1;10;D;C;M2;;
109;4;1;10;D;C;M2;;
110;4;1;10;D;D;M2;;
111;4;1;10;D;D;M2;;
112;5;1;10;D;C;M2;;
113;5;1;10;D;D;M2;;
114;1;1;10;D;C;M3;;
556;3;1;01;3;C;AP;;
116;2;1;10;D;C;M3;;
117;3;1;10;D;C;M3;;
118;4;1;10;D;C;M3;;
119;5;1;10;D;C;M3;;
120;5;1;10;D;D;M3;;
121;1;1;11;D;C;Y1;;
559;3;1;02;3;C;;;
123;2;1;11;D;C;Y1;;
124;3;1;11;D;C;Y1;;
125;4;1;11;D;C;Y1;;
126;4;1;11;D;D;Y1;;
127;4;1;11;D;D;Y1;;
128;4;1;11;D;D;Y1;;
129;5;1;11;D;C;Y1;;
