Database dummy - table rollhist
949990;95302001;1995;0000-00-00;;
949991;95310001;1995;0000-00-00;;
949992;95305001;1995;1995-11-06;;
949993;95322001;1995;0000-00-00;;
949994;95322002;1995;0000-00-00;;
949995;95322003;1995;0000-00-00;;
949996;95322004;1995;0000-00-00;;
949997;95307001;1995;0000-00-00;;
949998;95322005;1995;0000-00-00;;
949999;95305002;1995;0000-00-00;;
950000;95305003;1995;0000-00-00;;
950001;95302002;1995;0000-00-00;;
950002;95302003;1995;0000-00-00;;
950003;95302004;1995;0000-00-00;;
950004;95310002;1995;0000-00-00;;
950005;95302005;1995;0000-00-00;;
950006;95307002;1995;0000-00-00;;
950007;95322006;1995;0000-00-00;;
950008;95302006;1995;0000-00-00;;
950009;95302007;1995;0000-00-00;;
950010;95305004;1995;0000-00-00;;
950011;95305005;1995;0000-00-00;;
950012;95310003;1995;0000-00-00;;
950013;95302008;1995;0000-00-00;;
950014;95305006;1995;0000-00-00;;
950015;95322007;1995;0000-00-00;;
950016;95310004;1995;0000-00-00;;
950017;95323001;1995;0000-00-00;;
950018;95310005;1995;0000-00-00;;
950019;95305007;1995;0000-00-00;;
950020;95302009;1995;0000-00-00;;
950021;95302010;1995;0000-00-00;;
950022;95305008;1995;0000-00-00;;
950023;95302011;1995;0000-00-00;;
950024;95302012;1995;0000-00-00;;
950025;95305009;1995;0000-00-00;;
950026;95302013;1995;0000-00-00;;
950027;95302014;1995;0000-00-00;;
950028;95305010;1995;0000-00-00;;
950029;95310006;1995;0000-00-00;;
950030;95322008;1995;0000-00-00;;
950031;95314001;1995;0000-00-00;;
950032;95310007;1995;0000-00-00;;
950033;95310008;1995;0000-00-00;;
950034;95305011;1995;0000-00-00;;
950035;95310009;1995;0000-00-00;;
950036;95305012;1995;0000-00-00;;
950037;95305013;1995;0000-00-00;;
950038;95310010;1995;0000-00-00;;
950039;95305014;1995;0000-00-00;;
950040;95305015;1995;0000-00-00;;
950041;95305016;1995;0000-00-00;;
950042;95305017;1995;0000-00-00;;
950043;95318001;1995;0000-00-00;;
950044;95307003;1995;0000-00-00;;
950045;95302015;1995;0000-00-00;;
950046;95305018;1995;0000-00-00;;
950047;95322009;1995;0000-00-00;;
950048;95305019;1995;0000-00-00;;
950049;95302016;1995;0000-00-00;;
950050;95305020;1995;0000-00-00;;
950051;95302017;1995;0000-00-00;;
950052;95302018;1995;0000-00-00;;
950053;95302019;1995;0000-00-00;;
950054;95305021;1995;0000-00-00;;
950055;95305022;1995;0000-00-00;;
950056;95305023;1995;0000-00-00;;
950057;95302020;1995;0000-00-00;;
950058;95927001;1995;0000-00-00;;
950059;95927002;1995;0000-00-00;;
950060;95927003;1995;0000-00-00;;
950061;95927401;1995;0000-00-00;;
950062;95927004;1995;0000-00-00;;
950063;95927005;1995;0000-00-00;;
950064;95927006;1995;0000-00-00;;
950065;95927007;1995;0000-00-00;;
950066;95927402;1995;0000-00-00;;
950067;95927008;1995;0000-00-00;;
950068;95927009;1995;0000-00-00;;
950069;95927010;1995;0000-00-00;;
950070;95927011;1995;0000-00-00;;
950071;95927012;1995;0000-00-00;;
950072;95927013;1995;0000-00-00;;
950073;95927014;1995;0000-00-00;;
950074;95927015;1995;0000-00-00;;
950075;95301001;1995;0000-00-00;;
950076;95301002;1995;0000-00-00;;
950077;95301003;1995;0000-00-00;;
950078;95301004;1995;0000-00-00;;
950079;95301005;1995;0000-00-00;;
950080;95301006;1995;0000-00-00;;
