Database dummy - table phdguide
99401001;I98002;011007;;
99101091;751008;;;
99411004;671007;;;
00409001;101031;;;
93410401;111072;;;
94410001;111087;;;
95410006;111079;111083;;
96410301;111056;;;
96410003;111017;111059;;
96410004;111017;111059;;
97410001;I94043;;;
97410302;111075;111086;;
98410301;111089;;;
98410302;111088;;;
98410002;I94037;;;
98410004;111020;I00029;;
99410301;111017;;;
99410801;I94043;;;
99410802;111072;;;
99410001;111028;;;
99410703;111017;;;
99410704;111029;;;
99410803;111015;;;
99410705;111075;;;
99410302;111083;111075;;
99410003;111056;;;
99410305;I94037;;;
00410301;111086;;;
00410302;I98016;;;
00410303;111029;;;
00410401;111072;;;
00410001;I99085;111060;;
00410701;111089;;;
00410501;111088;;;
00410402;111027;;;
00410703;111083;;;
00410002;111088;;;
00410003;I99094;;;
00410004;111089;;;
00410801;I94043;;;
97410005;111017;111015;;
97419001;111056;;;
00419301;111056;;;
98417001;I94043;;;
99410701;111077;;;
98419301;111085;;;
98417301;111077;;;
98417002;111077;;;
98417003;111077;;;
98417703;111080;;;
99417301;I93040;;;
99417302;111072;;;
96406901;I94069;161010;;
99406302;161014;;;
99406601;I97029;;;
99406902;161014;;;
00406301;I94062;;;
00406302;I94062;;;
00406001;I94069;;;
00406601;I94069;;;
00406002;161016;;;
00406303;161004;I94062;;
01403002;I95072;;;
94414002;081008;;;
96414601;151067;;;
98401001;I94031;;;
00401701;011037;;;
00401601;011012;;;
97402901;021056;;;
96402601;021045;;;
98402301;021040;;;
98402001;021046;;;
98402901;021045;021055;;
99402602;021040;;;
99402605;021045;;;
98402902;I93018;;;
98402801;021040;;;
98402005;I95046;;;
99402002;I97067;;;
99402003;I93027;I97067;;
99402301;021056;;;
99402601;I97067;;;
99402004;021050;;;
99402006;I96008;;;
99402604;I93018;;;
00402003;I96008;021056;;
00402004;I96008;;;
00402801;021045;;;
00402006;I99017;;;
00402401;021056;;;
00402402;021050;;;
00402902;I93018;;;
00402002;I97067;I93027;;
00402901;I95046;;;
94402401;021057;021017;;
96402701;021045;;;
96402702;021045;;;
98402702;I96008;;;
98402601;021050;;;
98402004;021040;;;
99402701;021045;;;
99402005;021045;;;
99402603;021050;;;
99402702;021046;;;
00402602;021050;;;
00402005;I93018;;;
93402301;021015;;;
93404301;041055;;;
93404101;041055;;;
93404102;041055;;;
93404001;041027;;;
93404003;041060;;;
93404005;041056;;;
93404006;041035;;;
